team,gdp_per_capita_index,population_index,football_market_index,academy_pipeline_index,climate_fit_index,league_export_index,home_region_fit_index,notes
France,82,64,95,94,78,95,72,Elite economy-football pipeline with deep exports and academies.
Argentina,58,54,90,88,76,86,70,Historic football culture offsets weaker macro economy.
Spain,76,55,94,92,80,94,70,Elite league and academy structure.
England,84,63,96,88,72,96,68,Very high market and league power.
Brazil,54,92,93,90,82,88,74,Large population and extreme football culture.
Portugal,70,36,88,84,78,88,66,Small population but elite export model.
Netherlands,84,42,86,90,74,90,66,High academy efficiency and export pipeline.
Belgium,83,38,84,82,72,84,66,Small population but strong modern pipeline.
Germany,86,68,92,88,72,92,68,Large economy and deep league infrastructure.
Croatia,62,28,80,82,74,80,66,Small country with exceptional talent conversion.
Uruguay,61,25,78,78,78,76,70,Small population but elite football identity.
Mexico,60,72,76,72,82,70,92,Host-region advantage and large football market.
USA,94,96,78,74,78,74,95,Massive economy and host advantage, developing football culture.
Morocco,45,52,74,76,82,72,72,Strong diaspora and rising academy/export model.
Switzerland,95,34,72,76,72,76,66,High economy and stable development system.
Canada,88,53,62,66,66,64,94,Host advantage and improving pipeline.
Colombia,47,57,72,72,82,70,74,Strong talent base and climate familiarity.
Japan,82,76,70,76,76,72,60,High organization and technical development.
Sweden,82,38,70,74,64,74,62,Stable development and exports.
Austria,86,34,68,72,66,72,64,Strong Central European football infrastructure.
Turkey,54,68,72,70,76,72,64,Large population and serious domestic league.
Ecuador,43,46,66,68,84,64,72,Altitude/climate adaptation and strong recent pipeline.
Senegal,35,47,70,72,84,68,72,Elite exports and strong athletic/talent conversion.
Ghana,34,48,66,68,84,64,72,Strong talent identity with lower macro base.
Ivory Coast,36,45,68,68,84,66,72,Strong exports and athletic profile.
South Korea,80,57,68,74,72,70,58,Organized system and strong economy.
Australia,88,50,58,62,70,60,58,High economy, thinner football depth.
Norway,96,30,68,70,58,70,60,High economy and improving elite talent.
Scotland,78,30,62,66,58,66,62,Historic football system, limited population.
Czech Republic,74,38,62,66,66,66,62,Stable Central European development.
Paraguay,42,34,62,62,80,60,70,Football culture stronger than macro base.
Qatar,96,25,54,60,90,56,82,Very high wealth and climate/region fit, limited population.
Saudi Arabia,74,51,62,66,92,64,82,High investment and region climate fit.
South Africa,43,55,56,58,78,56,70,Large market but uneven football pipeline.
Tunisia,42,40,58,62,86,58,74,North African climate fit and organized football base.
Egypt,36,77,62,66,88,60,78,Large population and strong football culture.
Iran,45,69,62,66,84,60,72,Large population and organized competitive base.
Iraq,32,54,52,56,88,52,76,Strong culture, limited infrastructure consistency.
Jordan,43,35,46,50,88,46,76,Regional fit, smaller football economy.
Algeria,46,56,64,68,86,64,76,Strong diaspora and football culture.
Bosnia & Herzegovina,50,27,60,62,68,62,64,Small population with export tradition.
New Zealand,82,29,42,46,64,42,58,High economy, limited football market depth.
Panama,55,28,48,52,88,48,76,Climate familiarity, smaller football depth.
Uzbekistan,34,52,48,54,76,48,66,Rising football system, modest macro base.
DR Congo,22,76,54,58,86,54,72,Large population and talent, weak infrastructure.
Haiti,18,35,42,46,86,42,76,Low macro base, diaspora/talent upside.
Cape Verde,40,23,50,54,82,50,72,Small population, diaspora-driven football.
Curaçao,55,20,46,50,84,46,74,Small population, diaspora-driven football.
