team,arabic_name,primary_color,secondary_color,fifa_rank
France,فرنسا,#1d4ed8,#ef4444,2
Argentina,الأرجنتين,#6ecff6,#ffffff,1
Spain,إسبانيا,#c60b1e,#ffc400,3
England,إنجلترا,#ffffff,#cf142b,4
Brazil,البرازيل,#009b3a,#ffdf00,5
Portugal,البرتغال,#006600,#ff0000,7
Netherlands,هولندا,#f97316,#1d4ed8,8
Belgium,بلجيكا,#111111,#ef3340,6
Germany,ألمانيا,#111111,#dd0000,13
Croatia,كرواتيا,#d90429,#ffffff,12
Uruguay,أوروغواي,#60a5fa,#111827,11
Colombia,كولومبيا,#facc15,#2563eb,9
USA,الولايات المتحدة,#1d4ed8,#b91c1c,17
Switzerland,سويسرا,#dc2626,#ffffff,16
Morocco,المغرب,#c1272d,#006233,14
Mexico,المكسيك,#006847,#ce1126,16
Japan,اليابان,#ffffff,#bc002d,15
Sweden,السويد,#006aa7,#fecc00,26
Senegal,السنغال,#00853f,#fdef42,18
Iran,إيران,#239f40,#da0000,19
Austria,النمسا,#ed2939,#ffffff,22
South Korea,كوريا الجنوبية,#ffffff,#cd2e3a,23
Australia,أستراليا,#006b3f,#ffcd00,24
Turkey,تركيا,#e30a17,#ffffff,28
Ecuador,الإكوادور,#ffdd00,#034ea2,30
Qatar,قطر,#8a1538,#ffffff,34
Ivory Coast,ساحل العاج,#f77f00,#009e60,38
Algeria,الجزائر,#006233,#ffffff,44
Canada,كندا,#ff0000,#ffffff,40
Scotland,اسكتلندا,#005eb8,#ffffff,39
Norway,النرويج,#ba0c2f,#00205b,47
Egypt,مصر,#ce1126,#000000,36
Ghana,غانا,#ce1126,#fcd116,64
Tunisia,تونس,#e70013,#ffffff,41
Panama,بنما,#005293,#d21034,43
Cape Verde,الرأس الأخضر,#003893,#f7d116,65
Saudi Arabia,السعودية,#006c35,#ffffff,56
DR Congo,الكونغو الديمقراطية,#007fff,#f7d618,61
South Africa,جنوب أفريقيا,#007a4d,#ffb612,59
Uzbekistan,أوزبكستان,#1eb4e9,#009739,60
Paraguay,باراغواي,#0038a8,#d52b1e,62
Czech Republic,التشيك,#11457e,#d7141a,35
Bosnia & Herzegovina,البوسنة والهرسك,#002395,#fecb00,74
Iraq,العراق,#ce1126,#000000,55
New Zealand,نيوزيلندا,#111827,#ffffff,95
Haiti,هايتي,#00209f,#d21034,85
Jordan,الأردن,#007a3d,#ce1126,68
Curaçao,كوراساو,#002b7f,#f9e814,86
